station_id,station_name,line_id,line,zone
243,Stanmore,7,Jubilee Line,5.0
244,Stepney Green,6,Hammersmith & City Line,2.0
244,Stepney Green,4,District Line,2.0
245,Stockwell,11,Victoria Line,2.0
245,Stockwell,9,Northern Line,2.0
246,Stonebridge Park,1,Bakerloo Line,3.0
247,Stratford,7,Jubilee Line,2.5
247,Stratford,2,Central Line,2.5
247,Stratford,13,Docklands Light Railway,2.5
248,St. James's Park,4,District Line,1.0
248,St. James's Park,3,Circle Line,1.0
249,St. John's Wood,7,Jubilee Line,2.0
250,St. Paul's,2,Central Line,1.0
251,Sudbury Hill,10,Piccadilly Line,4.0
252,Sudbury Town,10,Piccadilly Line,4.0
253,Surrey Quays,5,East London Line,2.0
254,Swiss Cottage,7,Jubilee Line,2.0
255,Temple,3,Circle Line,1.0
255,Temple,4,District Line,1.0
256,Theydon Bois,2,Central Line,6.0
257,Tooting Bec,9,Northern Line,3.0
258,Tooting Broadway,9,Northern Line,3.0
259,Tottenham Court Road,9,Northern Line,1.0
259,Tottenham Court Road,2,Central Line,1.0
260,Tottenham Hale,11,Victoria Line,3.0
261,Totteridge & Whetstone,9,Northern Line,4.0
262,Tower Gateway,13,Docklands Light Railway,1.0
263,Tower Hill,4,District Line,1.0
263,Tower Hill,3,Circle Line,1.0
264,Tufnell Park,9,Northern Line,2.0
265,Turnham Green,4,District Line,2.5
265,Turnham Green,10,Piccadilly Line,2.5
266,Turnpike Lane,10,Piccadilly Line,3.0
267,Upminster,4,District Line,6.0
268,Upminster Bridge,4,District Line,6.0
269,Upney,4,District Line,4.0
270,Upton Park,4,District Line,3.0
270,Upton Park,6,Hammersmith & City Line,3.0
271,Uxbridge,8,Metropolitan Line,6.0
271,Uxbridge,10,Piccadilly Line,6.0
272,Vauxhall,11,Victoria Line,1.5
273,Victoria,4,District Line,1.0
273,Victoria,3,Circle Line,1.0
273,Victoria,11,Victoria Line,1.0
274,Walthamstow Central,11,Victoria Line,3.0
275,Wanstead,2,Central Line,4.0
276,Wapping,5,East London Line,2.0
277,Warren Street,11,Victoria Line,1.0
277,Warren Street,9,Northern Line,1.0
278,Warwick Avenue,1,Bakerloo Line,2.0
279,Waterloo,12,Waterloo & City Line,1.0
279,Waterloo,7,Jubilee Line,1.0
279,Waterloo,1,Bakerloo Line,1.0
279,Waterloo,9,Northern Line,1.0
280,Watford,8,Metropolitan Line,7.0
281,Wembley Central,1,Bakerloo Line,4.0
282,Wembley Park,8,Metropolitan Line,4.0
282,Wembley Park,7,Jubilee Line,4.0
283,Westbourne Park,6,Hammersmith & City Line,2.0
284,Westferry,13,Docklands Light Railway,2.0
285,Westminster,4,District Line,1.0
285,Westminster,7,Jubilee Line,1.0
285,Westminster,3,Circle Line,1.0
286,West Acton,2,Central Line,3.0
287,West Brompton,4,District Line,2.0
288,West Finchley,9,Northern Line,4.0
