,postcode,town,eastings,northings,latitude,longitude,region
177,SM2,Sutton,525600.0,163100.0,51.35258,-0.19611,Greater London
178,SM3,Sutton,524400.0,165000.0,51.36992,-0.21267,Greater London
179,SM4,Merton,525300.0,167500.0,51.39219,-0.19886,Greater London
180,SM5,Sutton,527600.0,164800.0,51.36741,-0.16679,Greater London
181,SM6,Sutton,529300.0,164000.0,51.35984,-0.14267,Greater London
182,SW10,Kensington,526300.0,177700.0,51.48365,-0.18086,Greater London
183,SW11,Wandsworth,527500.0,175800.0,51.4663,-0.16427,Greater London
184,SW12,Wandsworth,528700.0,173500.0,51.44536,-0.14784,Greater London
185,SW13,Richmond,521900.0,176600.0,51.47473,-0.24458,Greater London
186,SW14,Richmond,520500.0,175500.0,51.46514,-0.26511,Greater London
187,SW15,Wandsworth,523300.0,174700.0,51.45734,-0.22509,Greater London
188,SW16,Lambeth,530200.0,170900.0,51.42165,-0.12722,Greater London
189,SW17,Wandsworth,527700.0,171800.0,51.4303,-0.16283,Greater London
190,SW18,Wandsworth,525800.0,173900.0,51.4496,-0.18941,Greater London
191,SW19,Merton,524900.0,170900.0,51.42284,-0.20341,Greater London
192,SW1A,Whitehall,,,,,Greater London
193,SW1E,Northern Victoria,,,,,Greater London
194,SW1H,St James's Park tube station,,,,,Greater London
195,SW1P,Parliament Square,,,,,Greater London
196,SW1V,between Vauxhall Bridge and Victoria Station,,,,,Greater London
197,SW1W,South or lower Belgravia and Chelsea,,,,,Greater London
198,SW1X,Belgravia,,,,,Greater London
199,SW1Y,St James's,,,,,Greater London
200,SW2,Lambeth,530700.0,174000.0,51.44939,-0.11889,Greater London
201,SW20,Merton,523400.0,169500.0,51.41058,-0.22547,Greater London
202,SW3,Kensington,527400.0,178400.0,51.48969,-0.16477,Greater London
203,SW4,Lambeth,529500.0,175200.0,51.46045,-0.13571,Greater London
204,SW5,Kensington,525800.0,178400.0,51.49005,-0.18781,Greater London
205,SW6,Hammersmith,525000.0,176900.0,51.47675,-0.19986,Greater London
206,SW7,Kensington,526700.0,179100.0,51.49614,-0.1746,Greater London
207,SW8,Lambeth,529800.0,176900.0,51.47566,-0.13077,Greater London
208,SW9,Lambeth,531100.0,176200.0,51.46907,-0.11232,Greater London
209,TN16,,543100.0,157000.0,51.29362,0.05262,Greater London
210,TW1,Richmond,516400.0,173700.0,51.44982,-0.3247,Greater London
211,TW10,Richmond,518000.0,173700.0,51.44949,-0.30168,Greater London
212,TW11,Richmond,516000.0,171100.0,51.42653,-0.33131,Greater London
213,TW12,Richmond,513400.0,170500.0,51.42166,-0.36888,Greater London
214,TW13,Hounslow,511200.0,172300.0,51.43828,-0.39995,Greater London
215,TW14,Hounslow,509900.0,173800.0,51.45202,-0.41818,Greater London
216,TW2,Richmond,514700.0,173300.0,51.44657,-0.34929,Greater London
217,TW3,Hounslow,513800.0,175600.0,51.46742,-0.36149,Greater London
218,TW4,Hounslow,512300.0,175400.0,51.46593,-0.38314,Greater London
219,TW5,Hounslow,512400.0,177000.0,51.48029,-0.3812,Greater London
220,TW6,Hillingdon,507900.0,175700.0,51.46948,-0.44638,Greater London
221,TW7,Hounslow,515800.0,176300.0,51.47331,-0.33248,Greater London
222,TW8,Hounslow,517600.0,177700.0,51.48552,-0.30611,Greater London
223,TW9,Richmond,518500.0,175700.0,51.46736,-0.29382,Greater London
224,UB1,Southall,512900.0,180800.0,51.51435,-0.37278,Greater London
225,UB10,Hillingdon,507300.0,184400.0,51.5478,-0.45236,Greater London
226,UB11,Hillingdon,507000.0,181200.0,51.51909,-0.45766,Greater London
227,UB2,Southall,512500.0,179100.0,51.49915,-0.37909,Greater London
228,UB3,Hillingdon,509500.0,179700.0,51.50513,-0.42211,Greater London
229,UB4,Hillingdon,510500.0,181800.0,51.52381,-0.40704,Greater London
230,UB5,Southall,512700.0,184000.0,51.54315,-0.37464,Greater London
231,UB6,Southall,514900.0,183600.0,51.53911,-0.34306,Greater London
232,UB7,Hillingdon,506200.0,179700.0,51.50576,-0.46964,Greater London
233,UB8,Hillingdon,505900.0,182900.0,51.53458,-0.473,Greater London
234,W10,Kensington,523900.0,181800.0,51.52103,-0.21397,Greater London
235,W11,Kensington,524600.0,180800.0,51.51189,-0.20424,Greater London
236,W12,Hammersmith,522900.0,180300.0,51.50777,-0.2289,Greater London
237,W13,Ealing,516600.0,180700.0,51.5127,-0.31951,Greater London
238,W14,Hammersmith,524300.0,178900.0,51.49488,-0.20923,Greater London
239,W1A,non-geographic,,,,,Greater London
240,W1B,Portland Place,,,,,Greater London
241,W1C,Oxford Street,,,,,Greater London
242,W1D,Soho (south east),,,,,Greater London
243,W1F,Soho (north west),,,,,Greater London
244,W1G,Paddington,528600.0,181600.0,51.51818,-0.14633,Greater London
245,W1H,Paddington,527700.0,181400.0,51.51659,-0.15936,Greater London
246,W1J,Mayfair (south),,,,,Greater London
247,W1K,Mayfair (north),,,,,Greater London
248,W1M,Paddington,528400.0,181600.0,51.51823,-0.14921,Greater London
249,W1S,Mayfair (east),,,,,Greater London
250,W1T,Camden Town,529400.0,181800.0,51.5198,-0.13473,Greater London
251,W1U,Paddington,528200.0,181600.0,51.51827,-0.15209,Greater London
252,W1W,Paddington,529100.0,181700.0,51.51897,-0.13909,Greater London
253,W2,Paddington,526400.0,181200.0,51.51508,-0.17816,Greater London
254,W3,Ealing,520200.0,180400.0,51.50925,-0.26775,Greater London
255,W4,Hounslow,520600.0,178400.0,51.49118,-0.26268,Greater London
256,W5,Ealing,517900.0,180700.0,51.51243,-0.30078,Greater London
257,W6,Hammersmith,523000.0,178600.0,51.49246,-0.22805,Greater London
258,W7,Ealing,515600.0,180500.0,51.5111,-0.33398,Greater London
259,W8,Kensington,525400.0,179500.0,51.50003,-0.19317,Greater London
260,W9,Paddington,525500.0,182400.0,51.52607,-0.1907,Greater London
261,WC1,Camden Town,530300.0,182000.0,51.52139,-0.12169,Greater London
262,WC1A,Camden Town,530100.0,181500.0,51.51694,-0.12475,Greater London
263,WC1B,Camden Town,530000.0,181700.0,51.51876,-0.12612,Greater London
264,WC1E,Camden Town,529600.0,181900.0,51.52065,-0.13181,Greater London
265,WC1H,Camden Town,530000.0,182300.0,51.52415,-0.1259,Greater London
266,WC1N,Camden Town,530400.0,182000.0,51.52136,-0.12025,Greater London
267,WC1R,Camden Town,530700.0,181700.0,51.5186,-0.11604,Greater London
268,WC1V,Camden Town,530500.0,181500.0,51.51685,-0.11899,Greater London
269,WC1X,Camden Town,530700.0,182400.0,51.52489,-0.11578,Greater London
270,WC2A,Camden Town,530800.0,181400.0,51.51588,-0.11471,Greater London
271,WC2B,Drury Lane,,,,,Greater London
272,WC2E,Covent Garden,,,,,Greater London
273,WC2H,Camden Town,529900.0,181100.0,51.51339,-0.12778,Greater London
274,WC2N,Charing Cross,,,,,Greater London
275,WC2R,Somerset House,,,,,Greater London
