station,line,zone
London City Airport,Docklands Light Railway,3.0
London Fields,London Overground,2.0
Loughton,Central Line,6.0
Maida Vale,Bakerloo Line,2.0
Maidenhead,Elizabeth Line,
Manor House,Piccadilly Line,2.5
Manor Park,Elizabeth Line,3.5
Mansion House,District Line,1.0
Mansion House,Circle Line,1.0
Marble Arch,Central Line,1.0
Maryland,Elizabeth Line,3.0
Marylebone,Bakerloo Line,1.0
Mile End,Central Line,2.0
Mile End,District Line,2.0
Mile End,Hammersmith & City Line,2.0
Mill Hill East,Northern Line,4.0
Monument,District Line,1.0
Monument,Circle Line,1.0
Moor Park,Metropolitan Line,6.5
Moorgate,Metropolitan Line,1.0
Moorgate,Circle Line,1.0
Moorgate,Hammersmith & City Line,1.0
Moorgate,Northern Line,1.0
Morden,Northern Line,4.0
Mornington Crescent,Northern Line,2.0
Mudchute,Docklands Light Railway,2.0
Neasden,Jubilee Line,3.0
New Cross,London Overground,2.0
New Cross Gate,London Overground,2.0
Newbury Park,Central Line,4.0
North Acton,Central Line,2.5
North Ealing,Piccadilly Line,3.0
North Greenwich,Jubilee Line,2.5
North Harrow,Metropolitan Line,5.0
North Wembley,London Overground,4.0
North Wembley,Bakerloo Line,4.0
Northfields,Piccadilly Line,3.0
Northolt,Central Line,5.0
Northwick Park,Metropolitan Line,4.0
Northwood,Metropolitan Line,6.0
Northwood Hills,Metropolitan Line,6.0
Norwood Junction,London Overground,4.0
Notting Hill Gate,Central Line,1.5
Notting Hill Gate,Circle Line,1.5
Notting Hill Gate,District Line,1.5
Oakwood,Piccadilly Line,5.0
Old Street,Northern Line,1.0
Osterley,Piccadilly Line,4.0
Oval,Northern Line,2.0
Oxford Circus,Bakerloo Line,1.0
Oxford Circus,Victoria Line,1.0
Oxford Circus,Central Line,1.0
Paddington,Bakerloo Line,1.0
Paddington,District Line,1.0
Paddington,Circle Line,1.0
Paddington,Hammersmith & City Line,1.0
Paddington,Elizabeth Line,1.0
Park Royal,Piccadilly Line,3.0
Parsons Green,District Line,2.0
Peckham Rye,London Overground,2.0
Penge West,London Overground,4.0
Perivale,Central Line,4.0
Piccadilly Circus,Piccadilly Line,1.0
Piccadilly Circus,Bakerloo Line,1.0
Pimlico,Victoria Line,1.0
Pinner,Metropolitan Line,5.0
Plaistow,Hammersmith & City Line,3.0
Plaistow,District Line,3.0
Pontoon Dock,Docklands Light Railway,3.0
Poplar,Docklands Light Railway,2.0
Preston Road,Metropolitan Line,4.0
Prince Regent,Docklands Light Railway,3.0
Pudding Mill Lane,Docklands Light Railway,2.5
Putney Bridge,District Line,2.0
Queen's Park,Bakerloo Line,2.0
Queens Park,London Overground,2.0
Queens Road Peckham,London Overground,2.0
Queensbury,Jubilee Line,4.0
Queensway,Central Line,1.0
Ravenscourt Park,District Line,2.0
Rayners Lane,Metropolitan Line,5.0
Rayners Lane,Piccadilly Line,5.0
Reading,Elizabeth Line,
Rectory Road,London Overground,2.0
Redbridge,Central Line,4.0
Regent's Park,Bakerloo Line,1.0
Richmond,London Overground,4.0
Richmond,District Line,4.0
Rickmansworth,Metropolitan Line,7.0
Roding Valley,Central Line,4.0
Romford,London Overground,6.0
Romford,Elizabeth Line,6.0
Rotherhithe,London Overground,2.0
Royal Albert,Docklands Light Railway,3.0
Royal Oak,Hammersmith & City Line,2.0
Royal Victoria,Docklands Light Railway,3.0
Ruislip,Metropolitan Line,6.0
Ruislip,Piccadilly Line,6.0
Ruislip Gardens,Central Line,5.0
Ruislip Manor,Metropolitan Line,6.0
Ruislip Manor,Piccadilly Line,6.0
Russell Square,Piccadilly Line,1.0
Seven Kings,Elizabeth Line,4.0
Seven Sisters,London Overground,3.0
Seven Sisters,Victoria Line,3.0
Shadwell,London Overground,2.0
Shadwell,Docklands Light Railway,2.0
Shenfield,Elizabeth Line,7.0
Shepherd's Bush (C),Central Line,2.0
Shepherd's Bush (H),Hammersmith & City Line,2.0
Shepherd's Bush (H),Circle Line,2.0
Shepherds Bush,London Overground,2.0
Shoreditch High Street,London Overground,1.0
Silver Street,London Overground,4.0
Sloane Square,District Line,1.0
Sloane Square,Circle Line,1.0
Slough,Elizabeth Line,
Snaresbrook,Central Line,4.0
South Acton,London Overground,3.0
South Ealing,Piccadilly Line,3.0
South Hampstead,London Overground,2.0
South Harrow,Piccadilly Line,5.0
South Kensington,District Line,1.0
South Kensington,Circle Line,1.0
South Kensington,Piccadilly Line,1.0
South Kenton,London Overground,4.0
South Kenton,Bakerloo Line,4.0
South Quay,Docklands Light Railway,2.0
South Ruislip,Central Line,5.0
South Tottenham,London Overground,3.0
South Wimbledon,Northern Line,3.5
South Woodford,Central Line,4.0
Southall,Elizabeth Line,4.0
Southbury,London Overground,5.0
Southfields,District Line,3.0
Southgate,Piccadilly Line,4.0
Southwark,Jubilee Line,1.0
St James Street,London Overground,3.0
St. James's Park,District Line,1.0
St. James's Park,Circle Line,1.0
St. John's Wood,Jubilee Line,2.0
St. Paul's,Central Line,1.0
Stamford Brook,District Line,2.0
Stamford Hill,London Overground,3.0
Stanmore,Jubilee Line,5.0
Stepney Green,Hammersmith & City Line,2.0
Stepney Green,District Line,2.0
Stockwell,Northern Line,2.0
Stockwell,Victoria Line,2.0
Stoke Newington,London Overground,2.0
Stonebridge Park,Bakerloo Line,3.0
Stonebridge Park,London Overground,3.0
Stratford,Docklands Light Railway,2.5
Stratford,Central Line,2.5
Stratford,Jubilee Line,2.5
Stratford,Elizabeth Line,3.0
Stratford,London Overground,3.0
Sudbury Hill,Piccadilly Line,4.0
Sudbury Town,Piccadilly Line,4.0
Surrey Quays,London Overground,2.0
Swiss Cottage,Jubilee Line,2.0
Sydenham,London Overground,3.0
Taplow,Elizabeth Line,
Temple,District Line,1.0
Temple,Circle Line,1.0
Theobalds Grove,London Overground,7.0
Theydon Bois,Central Line,6.0
Tooting Bec,Northern Line,3.0
Tooting Broadway,Northern Line,3.0
Tottenham Court Road,Northern Line,1.0
Tottenham Court Road,Central Line,1.0
Tottenham Court Road,Elizabeth Line,1.0
Tottenham Hale,Victoria Line,3.0
Totteridge & Whetstone,Northern Line,4.0
Tower Gateway,Docklands Light Railway,1.0
Tower Hill,Circle Line,1.0
Tower Hill,District Line,1.0
Tufnell Park,Northern Line,2.0
Turkey Street,London Overground,6.0
Turnham Green,Piccadilly Line,2.5
Turnham Green,District Line,2.5
Turnpike Lane,Piccadilly Line,3.0
Twyford,Elizabeth Line,
Upminster,London Overground,6.0
Upminster,District Line,6.0
Upminster Bridge,District Line,6.0
Upney,District Line,4.0
Upper Holloway,London Overground,2.0
Upton Park,District Line,3.0
Upton Park,Hammersmith & City Line,3.0
Uxbridge,Piccadilly Line,6.0
Uxbridge,Metropolitan Line,6.0
Vauxhall,Victoria Line,1.5
Victoria,Circle Line,1.0
Victoria,Victoria Line,1.0
Victoria,District Line,1.0
Walthamstow Central,London Overground,3.0
Walthamstow Central,Victoria Line,3.0
Walthamstow Queens Road,London Overground,3.0
Wandsworth Road,London Overground,2.0
Wanstead,Central Line,4.0
Wanstead Park,London Overground,3.0
Wapping,London Overground,2.0
Warren Street,Northern Line,1.0
Warren Street,Victoria Line,1.0
Warwick Avenue,Bakerloo Line,2.0
Waterloo,Northern Line,1.0
Waterloo,Waterloo & City Line,1.0
Waterloo,Jubilee Line,1.0
Waterloo,Bakerloo Line,1.0
