,id,title,price,postcode,rent_per_pers,town,zone,url,added_status,house_type,bedrooms,bathrooms,available,stations,description
35,131947091,"Briscoe Road, Colliers Wood","£1,800 pcm",,900.0,,3.0,https://www.rightmove.co.uk/properties/131947091#/?channel=RES_LET,Added today,Maisonette,2,1.0,08/04/2023,"[{'station_name': 'Colliers Wood', 'distance (miles)': 0.3, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.0}, {'station_name': 'Tooting Broadway', 'distance (miles)': 0.5, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.0}, {'station_name': 'Haydons Road', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['National Rail (Thameslink)'], 'zone': 3.0}]","Two bed first floor maisonette within walking distance of Colliers Wood tube, quiet location, good condition throughout, garden, own front door. Available 8th April 2022."
36,131947079,"Bolton Road, London, E15","£2,700 pcm",E15,900.0,Stratford,3.0,https://www.rightmove.co.uk/properties/131947079#/?channel=RES_LET,Added today,Terraced,3,,Ask agent,"[{'station_name': 'Maryland', 'distance (miles)': 0.5, 'network': 'nationalrail', 'line': ['Elizabeth Line'], 'zone': 3.0}, {'station_name': 'Forest Gate', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['Elizabeth Line'], 'zone': 3.0}, {'station_name': 'Wanstead Park', 'distance (miles)': 0.8, 'network': 'overground', 'line': ['London Overground'], 'zone': 3.0}]",We are pleased to offer for rent this stunning and very spacious three bedroom mid terraced house. The house has recently under gone a full refurbishment and is located close to Maryland and Stratford Station. An internal viewing is highly advised.
37,131947049,Terrace Road | E13,"£1,500 pcm",E13,750.0,East Ham,3.0,https://www.rightmove.co.uk/properties/131947049#/?channel=RES_LET,Added today,Apartment,2,1.0,01/03/2023,"[{'station_name': 'Plaistow', 'distance (miles)': 0.3, 'network': 'underground', 'line': ['Hammersmith & City Line', 'District Line'], 'zone': 3.0}, {'station_name': 'Upton Park', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['Hammersmith & City Line', 'District Line'], 'zone': 3.0}, {'station_name': 'Abbey Road', 'distance (miles)': 0.9, 'network': 'dlr', 'line': None, 'zone': None}]","Portico is please to offer this spacious two bedroom apartment, on the sough after Terrace Road - located within walking distance of West Ham park and both Upton Park and Plaistow stations!"
38,131946872,"Maysoule Road, SW11","£2,800 pcm",SW11,933.3333333333334,Wandsworth,2.0,https://www.rightmove.co.uk/properties/131946872#/?channel=RES_LET,Added today,Maisonette,3,,01/04/2023,"[{'station_name': 'Clapham Junction', 'distance (miles)': 0.4, 'network': 'nationalrail', 'line': ['National Rail (South Western Railway)', 'London Overground'], 'zone': 2.0}, {'station_name': 'Wandsworth Town', 'distance (miles)': 0.5, 'network': 'nationalrail', 'line': ['National Rail (South Western Railway)'], 'zone': 2.0}, {'station_name': 'Imperial Wharf', 'distance (miles)': 0.8, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}]",**NO DEPOSIT OPTION AVAILABLE** - This fully refurbished to a high standard Three double bedroom apartment on Maysoule Road SW11
40,131945072,"Oldridge Road, Balham","£1,846 pcm",,923.0,,2.8333333333333335,https://www.rightmove.co.uk/properties/131945072#/?channel=RES_LET,Added today,Flat,2,1.0,Ask agent,"[{'station_name': 'Clapham South', 'distance (miles)': 0.3, 'network': 'underground', 'line': ['Northern Line'], 'zone': 2.5}, {'station_name': 'Balham', 'distance (miles)': 0.4, 'network': 'nationalrail', 'line': ['National Rail (Southern)', 'Northern Line'], 'zone': 3.0}, {'station_name': 'Wandsworth Common', 'distance (miles)': 0.5, 'network': 'nationalrail', 'line': ['National Rail (Southern)'], 'zone': 3.0}]","A first floor two bedroom flat situated in a terraced Georgian house in Balham. Offering two double bedrooms, reception room, separate kitchen, bathroom and neutral décor throughout."
41,131774213,"Stoke Newington, High Street, London, N16 0NY","£1,900 pcm",N16 0NY,950.0,Hackney,2.0,https://www.rightmove.co.uk/properties/131774213#/?channel=RES_LET,Reduced today,Flat,2,1.0,Now,"[{'station_name': 'Stoke Newington', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'Rectory Road', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'Clapton', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}]","Well presented this wonderful two double bedroom flat situated on Stoke Newington N16. This brilliant property comprises of; two large double bedrooms, separate living room, lovely fully fitted kitchen with space to dine, fully tiled three-piece bathroom suite. Property is in fantastic condition..."
43,131944400,"Grittleton Road, London, W9","£2,800 pcm",W9,933.3333333333334,Paddington,2.0,https://www.rightmove.co.uk/properties/131944400#/?channel=RES_LET,Added today,Flat,3,1.0,25/03/2023,"[{'station_name': 'Westbourne Park', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['Hammersmith & City Line'], 'zone': 2.0}, {'station_name': 'Maida Vale', 'distance (miles)': 0.5, 'network': 'underground', 'line': ['Bakerloo Line'], 'zone': 2.0}, {'station_name': 'Warwick Avenue', 'distance (miles)': 0.6, 'network': 'underground', 'line': ['Bakerloo Line'], 'zone': 2.0}]","A must see 3 bed apartment is available in a beautiful Victorian converted mansion in the heart of Maida Vale.Flooded with natural light, the apartment has smoked oak wooden floor, high ceilings a... ** Property Reference: 1634918 **"
44,131944388,"Brecon Green, London, NW9","£2,050 pcm",NW9,683.3333333333334,Brent,3.6666666666666665,https://www.rightmove.co.uk/properties/131944388#/?channel=RES_LET,Added today,End of Terrace,3,1.0,Now,"[{'station_name': 'Hendon', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['National Rail (Thameslink)'], 'zone': 3.5}, {'station_name': 'Colindale', 'distance (miles)': 1.0, 'network': 'underground', 'line': ['Northern Line'], 'zone': 4.0}, {'station_name': 'Hendon Central', 'distance (miles)': 0.9, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.5}]","***Available for viewings from Saturday the 6th of March** 3 Bedroom House in Hendon available to rent. The house consists of a welcoming dining room, a modern kitchen, a dining room/lounge, 3... ** Property Reference: 1635447 **"
45,131944379,"Thackeray Court, London, W5","£2,500 pcm",W5,833.3333333333334,Ealing,3.0,https://www.rightmove.co.uk/properties/131944379#/?channel=RES_LET,Added today,Flat,3,2.0,Now,"[{'station_name': 'North Ealing', 'distance (miles)': 0.1, 'network': 'underground', 'line': ['Piccadilly Line'], 'zone': 3.0}, {'station_name': 'West Acton', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['Central Line'], 'zone': 3.0}, {'station_name': 'Park Royal', 'distance (miles)': 0.6, 'network': 'underground', 'line': ['Piccadilly Line'], 'zone': 3.0}]","Beautifully decorated, newly refurbished flat in a great location with off-street car parking. All rooms face communal gardens. Rooms remain bright and airy throughout the day. New electrics, pl... ** Property Reference: 1635439 **"
48,131944298,"Hemsworth Court, London, N1","£2,500 pcm",N1,833.3333333333334,Islington,1.5,https://www.rightmove.co.uk/properties/131944298#/?channel=RES_LET,Reduced today,Flat,3,1.0,Now,"[{'station_name': 'Hoxton', 'distance (miles)': 0.3, 'network': 'overground', 'line': ['London Overground'], 'zone': 1.5}, {'station_name': 'Haggerston', 'distance (miles)': 0.4, 'network': 'overground', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'Old Street', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['Northern Line'], 'zone': 1.0}]","We are proud to offer this delightful 3 bedroom duplex flat in a great location just off Hoxton Street Market. Located on the ground floor is a large reception room, separate kitchen and a downsta... ** Property Reference: 1621919 **"
52,131943239,"Horizon Building, York Road, Battersea, SW11","£1,725 pcm",SW11,862.5,Wandsworth,2.0,https://www.rightmove.co.uk/properties/131943239#/?channel=RES_LET,Added today,Flat,2,2.0,22/03/2023,"[{'station_name': 'Wandsworth Town', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['National Rail (South Western Railway)'], 'zone': 2.0}, {'station_name': 'Clapham Junction', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['National Rail (South Western Railway)', 'London Overground'], 'zone': 2.0}, {'station_name': 'Imperial Wharf', 'distance (miles)': 0.8, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}]","The Horizon building is a superb modern block offering spacious and comfortable living within a great location. Wandsworth Town (National Rail) and Clapham Junction (Overground, National Rail) are both a short walk away and offer easy routes into the city in less than 20 minutes. This two be..."
56,131943086,"Lodore Gardens, London","£1,850 pcm",,462.5,,3.6666666666666665,https://www.rightmove.co.uk/properties/131943086#/?channel=RES_LET,Added today,Semi-Detached,4,2.0,Ask agent,"[{'station_name': 'Colindale', 'distance (miles)': 0.7, 'network': 'underground', 'line': ['Northern Line'], 'zone': 4.0}, {'station_name': 'Hendon', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['National Rail (Thameslink)'], 'zone': 3.5}, {'station_name': 'Hendon Central', 'distance (miles)': 1.1, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.5}]","Come see this gorgeous, refurbished semi-detached house in Colindale. Large rooms, quiet neighbourhood, private garden and mins away from Colindale Station and 2 mins walk to Edgware Road."
58,85742241,"Pages Walk, Bermondsey","£2,275 pcm",,758.3333333333334,,1.3333333333333333,https://www.rightmove.co.uk/properties/85742241#/?channel=RES_LET,Added today,Flat,3,1.0,24/02/2023,"[{'station_name': 'Borough', 'distance (miles)': 0.7, 'network': 'underground', 'line': ['Northern Line'], 'zone': 1.0}, {'station_name': 'London Bridge', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['National Rail (Network Rail)', 'Northern Line', 'Jubilee Line'], 'zone': 1.0}, {'station_name': 'Bermondsey', 'distance (miles)': 0.8, 'network': 'underground', 'line': ['Jubilee Line'], 'zone': 2.0}]","A recently refurbished split level three bedroom ex-local authority property just off Tower Bridge Road. The property consists of a separate fully integrated kitchen, a large reception room, three bedrooms, a bathroom and an abundance of storage. Part Furnished and available end of February"
62,131499524,"Hobbs Place Estate, London, N1","£2,700 pcm",N1,900.0,Islington,1.5,https://www.rightmove.co.uk/properties/131499524#/?channel=RES_LET,Reduced today,Flat,3,1.0,10/04/2023,"[{'station_name': 'Hoxton', 'distance (miles)': 0.3, 'network': 'overground', 'line': ['London Overground'], 'zone': 1.5}, {'station_name': 'Haggerston', 'distance (miles)': 0.4, 'network': 'overground', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'Old Street', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['Northern Line'], 'zone': 1.0}]","Three double bedroom flat situated in a prime location close to Old street station. This lovely spacious property consists of three double bedrooms, separate living area, fully fitted kitchen dinner and tiled bathroom. The flat is well located with the nearby amenities and shopping centres and go..."
64,120753596,"Evelyn Court, Evelyn Walk, London, N1","£3,000 pcm",N1,1000.0,Islington,1.5,https://www.rightmove.co.uk/properties/120753596#/?channel=RES_LET,Added today,Apartment,3,2.0,08/04/2023,"[{'station_name': 'Old Street', 'distance (miles)': 0.4, 'network': 'nationalrail', 'line': ['Northern Line'], 'zone': 1.0}, {'station_name': 'Hoxton', 'distance (miles)': 0.5, 'network': 'overground', 'line': ['London Overground'], 'zone': 1.5}, {'station_name': 'Essex Road', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['National Rail (Great Northern)'], 'zone': 2.0}]","A superb three bedroom flat, split over two levels and refurbished to a high standard. This immaculate property has a modern fitted separate kitchen, spacious bright living room, three double bedrooms and a bathroom with shower. The property is only 600m from Old Street tube (Northern Line) and ..."
